timestamp,tag,config,exp,mode,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,fold_count,base_model_type,meta_model_type,timestamp_dt
20260419_154035,default,config/exp_rna.yaml,rna,holdout,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,0.9166666666666666,0.8888888888888888,,,,,,,,,,,,,,,,2026-04-19 15:40:35
20260419_154124,default,config/exp_concat.yaml,concat,holdout,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,0.9166666666666666,0.8888888888888888,,,,,,,,,,,,,,,,2026-04-19 15:41:24
20260419_154217,default,config/exp_mofa.yaml,mofa,holdout,0.875,0.8888888888888888,0.8857142857142857,0.8714285714285714,0.9166666666666666,0.8888888888888888,,,,,,,,,,,,,,,,2026-04-19 15:42:17
20260419_154849,default,config/exp_stacking.yaml,stacking,cv,,,,,,,0.794047619047619,0.1648110991793284,0.7962962962962963,0.1693204363061105,0.78994708994709,0.1695328423040547,0.7859778911564625,0.1710692637507274,0.8337037037037036,0.1597511782663151,0.7962962962962963,0.1693204363061105,15.0,,,2026-04-19 15:48:49
